City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
127,Plettenberg Bay,ZA,-34.05,23.37,68.05,73,0,18.72,clear sky,2020-11-01 14:33:20
128,Tobol,KZ,52.68,62.58,36.37,95,92,8.97,overcast clouds,2020-11-01 14:33:20
129,Emerald,AU,-23.53,148.17,70.0,49,0,5.82,light rain,2020-11-01 14:33:21
130,Axim,GH,4.87,-2.24,82.56,78,98,8.7,light rain,2020-11-01 14:33:21
131,Praia,CV,14.92,-23.51,86.0,51,20,18.34,few clouds,2020-11-01 14:33:21
132,Marang,MY,5.21,103.21,84.2,79,20,6.93,few clouds,2020-11-01 14:33:21
133,Cayenne,GF,4.93,-52.33,87.8,66,40,10.29,light rain,2020-11-01 14:33:21
134,Conceicao Do Araguaia,BR,-8.26,-49.26,93.27,54,99,0.58,light rain,2020-11-01 14:33:21
135,Chakradharpur,IN,22.7,85.63,74.86,69,0,3.94,clear sky,2020-11-01 14:33:21
136,Zambezi,ZM,-13.54,23.1,92.8,17,72,4.56,broken clouds,2020-11-01 14:33:21
137,Khash,IR,28.22,61.22,51.1,23,0,6.91,clear sky,2020-11-01 14:33:21
138,Nkayi,CG,-4.18,13.29,82.44,76,99,5.12,moderate rain,2020-11-01 14:33:21
139,Geraldton,AU,-28.77,114.6,57.2,93,90,11.41,overcast clouds,2020-11-01 14:33:21
140,Nikolskoye,RU,59.7,30.79,36.0,93,90,11.18,fog,2020-11-01 14:33:21
141,Dingle,PH,11.0,122.67,75.54,88,100,6.29,overcast clouds,2020-11-01 14:33:21
142,Donegal,IE,54.65,-8.12,51.8,71,75,34.45,heavy intensity rain,2020-11-01 14:33:21
143,Srostki,RU,52.42,85.7,30.63,95,21,3.76,few clouds,2020-11-01 14:33:22
144,Digoin,FR,46.48,3.98,66.99,59,0,2.24,clear sky,2020-11-01 14:33:22
145,Shimoda,JP,34.67,138.95,54.0,92,100,2.1,overcast clouds,2020-11-01 14:33:22
146,San Patricio,US,28.02,-97.52,63.0,82,20,3.36,few clouds,2020-11-01 14:33:22
147,Shiyan,CN,32.65,110.78,55.99,62,78,4.52,light rain,2020-11-01 14:33:22
148,Longyearbyen,SJ,78.22,15.64,30.2,63,20,17.22,few clouds,2020-11-01 14:28:47
149,Tuktoyaktuk,CA,69.45,-133.04,6.8,84,90,2.24,overcast clouds,2020-11-01 14:29:50
150,Naze,JP,28.37,129.48,77.0,78,75,11.41,broken clouds,2020-11-01 14:33:22
151,Mayo,US,38.89,-76.51,57.99,76,90,12.75,light rain,2020-11-01 14:30:25
152,Arraial Do Cabo,BR,-22.97,-42.03,75.2,64,75,8.05,broken clouds,2020-11-01 14:33:22
153,Kaoma,ZM,-14.78,24.8,92.95,13,87,5.88,overcast clouds,2020-11-01 14:33:22
154,Leningradskiy,RU,69.38,178.42,13.24,82,59,6.26,broken clouds,2020-11-01 14:33:23
155,Vanimo,PG,-2.67,141.3,79.47,83,67,5.23,light rain,2020-11-01 14:33:23
156,Araouane,ML,18.9,-3.53,95.27,10,72,10.2,broken clouds,2020-11-01 14:33:23
157,Coquimbo,CL,-29.95,-71.34,55.4,82,90,4.7,overcast clouds,2020-11-01 14:29:54
158,Codrington,AU,-38.27,141.97,48.79,94,72,7.61,broken clouds,2020-11-01 14:33:23
159,Teya,RU,60.38,92.63,31.35,96,100,12.53,overcast clouds,2020-11-01 14:33:23
160,Hamilton,US,39.18,-84.53,53.01,43,40,21.92,scattered clouds,2020-11-01 14:33:23
161,Khandyga,RU,62.67,135.6,-10.73,87,2,1.54,clear sky,2020-11-01 14:33:23
162,Aklavik,CA,68.22,-135.01,3.2,84,100,2.24,overcast clouds,2020-11-01 14:33:23
163,Mataura,NZ,-46.19,168.86,50.0,67,91,8.01,overcast clouds,2020-11-01 14:33:23
164,Ilulissat,GL,69.22,-51.1,19.4,62,100,14.99,overcast clouds,2020-11-01 14:33:23
165,Harper,LR,4.38,-7.72,81.5,78,51,8.61,light rain,2020-11-01 14:30:25
166,Melnikovo,RU,56.56,84.08,35.01,84,100,13.96,overcast clouds,2020-11-01 14:33:23
167,Ous,RU,60.91,61.52,26.46,97,0,4.81,clear sky,2020-11-01 14:33:24
168,Flin Flon,CA,54.77,-101.86,21.2,85,75,19.46,broken clouds,2020-11-01 14:30:04
169,Baracoa,CU,20.35,-74.5,82.83,76,100,14.03,light rain,2020-11-01 14:33:24
170,Hilo,US,19.73,-155.09,71.6,73,90,5.82,overcast clouds,2020-11-01 14:32:03
171,Klyuchi,RU,52.27,79.17,36.14,83,0,8.68,clear sky,2020-11-01 14:33:24
172,Sinnamary,GF,5.38,-52.95,85.69,67,100,10.11,overcast clouds,2020-11-01 14:33:24
173,Bathsheba,BB,13.22,-59.52,86.0,79,40,20.8,light rain,2020-11-01 14:33:24
174,Nizwa,OM,22.93,57.53,72.0,21,0,2.91,clear sky,2020-11-01 14:33:24
175,Great Yarmouth,GB,52.61,1.73,63.0,90,86,8.01,overcast clouds,2020-11-01 14:33:24
176,Tecpan,GT,14.76,-90.99,71.01,82,75,18.34,broken clouds,2020-11-01 14:32:11
177,Denizli,TR,37.84,29.07,59.0,47,40,6.93,scattered clouds,2020-11-01 14:33:24
178,Sobolevo,RU,54.43,31.9,42.39,85,100,12.84,light rain,2020-11-01 14:33:24
179,Pangai,TO,-19.8,-174.35,75.88,84,100,21.12,overcast clouds,2020-11-01 14:33:24
180,Kodiak,US,57.79,-152.41,28.4,50,1,6.93,clear sky,2020-11-01 14:33:24
181,College,US,64.86,-147.8,1.99,76,40,1.88,scattered clouds,2020-11-01 14:33:25
182,Dunmore Town,BS,25.5,-76.65,81.73,78,0,12.26,clear sky,2020-11-01 14:33:25
183,Dehui,CN,44.53,125.7,35.6,47,0,6.71,clear sky,2020-11-01 14:33:25
184,Butaritari,KI,3.07,172.79,81.99,75,53,10.07,broken clouds,2020-11-01 14:33:25
185,Necochea,AR,-38.55,-58.74,69.04,44,0,1.41,clear sky,2020-11-01 14:32:56
186,Namibe,AO,-15.2,12.15,80.6,61,20,14.99,few clouds,2020-11-01 14:33:25
187,Asyut,EG,27.18,31.18,84.2,45,40,18.34,scattered clouds,2020-11-01 14:33:25
188,Tahta,EG,26.77,31.5,86.0,40,40,10.29,scattered clouds,2020-11-01 14:33:25
189,Alofi,NU,-19.06,-169.92,75.2,94,44,9.17,light rain,2020-11-01 14:33:25
190,Kirkwall,GB,58.98,-2.96,50.0,71,40,29.97,scattered clouds,2020-11-01 14:33:25
191,Atar,MR,20.52,-13.05,94.8,10,99,12.86,overcast clouds,2020-11-01 14:33:25
192,Souris,CA,49.62,-100.26,14.0,85,75,5.82,broken clouds,2020-11-01 14:31:54
193,Koshurnikovo,RU,54.17,93.3,26.64,99,99,2.46,overcast clouds,2020-11-01 14:33:25
194,Binga,ZW,-17.62,27.34,89.31,30,0,11.74,clear sky,2020-11-01 14:33:25
195,Pontes E Lacerda,BR,-15.23,-59.34,89.49,37,53,7.45,broken clouds,2020-11-01 14:33:25
196,Tasiilaq,GL,65.61,-37.64,32.0,96,100,5.26,overcast clouds,2020-11-01 14:30:00
197,Berlevag,NO,70.86,29.09,41.16,82,91,17.83,overcast clouds,2020-11-01 14:33:26
198,Pevek,RU,69.7,170.31,14.27,89,96,15.23,overcast clouds,2020-11-01 14:30:11
199,Bud,US,39.45,-86.18,45.0,52,1,12.75,clear sky,2020-11-01 14:32:17
200,Wakkanai,JP,45.41,141.67,54.01,83,100,22.32,overcast clouds,2020-11-01 14:33:26
201,Martapura,ID,-3.42,114.85,76.64,87,65,1.95,broken clouds,2020-11-01 14:33:26
202,Clyde River,CA,70.47,-68.59,14.0,85,90,14.99,overcast clouds,2020-11-01 14:33:26
203,Homer,US,59.64,-151.55,26.01,44,1,8.05,clear sky,2020-11-01 14:33:26
204,Provideniya,RU,64.38,-173.3,21.97,86,0,2.42,clear sky,2020-11-01 14:33:26
